loc_rowid_x,pl_name,hostname,default_flag,sy_snum_x,sy_pnum_x,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,loc_rowid_y,sy_snum_y,sy_pnum_y,cb_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_age,st_rotp,spectral_bin,pl_mass_kg,pl_radius_m,density_calc,v_esc,P_yr,a_calc,flux_calc,tidal_lock_score,Habitability_Physics_Percent,Habitability_ML_Percent
23498,Kepler-304 e,Kepler-304,1,1,4,1.499146953,0.023797572040034767,1.2,1.4558390586094703,4.64491748371411,0.0,-917.9897031979707,,29346,1,4,0,,4817.0,0.73,0.8,0.05,-0.51988,2.09,,K,8.694270858015757e+24,7645200.0,4.64491748371411,12320.831467654554,0.004104440665297741,0.023797572040034767,-917.9897031979707,0.009011774887248858,48.20670947953367,40.776447
36290,TOI-1648 b,TOI-1648,1,1,1,7.331602,0.0694,2.54,7.4,2.49,0.178,-107.9404363461203,799.0,43477,1,1,0,,4850.0,0.81,0.83,0.2,-0.51988,5.7,,K,4.41928e+25,16182340.0,2.489653708898634,19092.94661305796,0.02007283230663929,0.06941155945785012,-107.9404363461203,0.028368986302130136,7.243213201837138,14.891264
22146,Kepler-267 b,Kepler-267,1,1,3,3.353728,0.037,1.98,,,0.0,30.233747260774294,,28176,1,3,0,,,0.94,0.96,,0.04139,,,,,12614580.0,,,0.009182006844626967,0.043256245273110096,30.233747260774294,0.01300598422276684,,
21762,Kepler-256 b,Kepler-256,1,1,4,1.620493,0.027,1.59,2.5994296964244965,3.5652917780649522,0.0,56.7764060356653,,27865,1,4,0,,5649.0,0.91,1.02,,0.04139,,,G,1.5523794147047094e+25,10129890.0,3.5652917780649522,14302.581544898461,0.00443666803559206,0.027179284130659048,56.7764060356653,0.009231115459616017,24.174870849687267,31.935415
11688,Kepler-133 c,Kepler-133,1,1,2,31.517586,0.204,2.84,,,0.0,0.9945693963860056,,16976,1,2,0,,5491.0,0.82,0.96,-0.16,0.04139,,,G,,18093640.0,,,0.0862904476386037,0.1926336819179482,0.9945693963860056,0.7864263269324656,,
27292,Kepler-444 e,Kepler-444,1,3,5,7.743493,0.0696,0.546,0.2874860951331234,9.73749595700036,0.1,-107.3209803144405,,32897,3,5,0,,5051.0,0.721,0.692,-0.36,-0.51988,,,K,1.716866960135013e+24,3478566.0000000005,9.73749595700036,8116.822657583161,0.021200528405201917,0.0677537215785529,-107.3209803144405,0.03073007251945435,21.026833895078774,31.943546
10118,Kepler-122 c,Kepler-122,1,1,5,12.465988,0.108,5.87,,,0.0,3.5485253772290815,,15146,1,5,0,,5868.0,0.769,0.96,-0.202,0.04139,,,G,,37397770.0,,,0.03413001505817933,0.10379618647552483,3.5485253772290815,0.07538268023693748,,
18815,Kepler-192 c,Kepler-192,1,1,3,21.2234,0.15,2.79,,,0.0,1.8395555555555558,,25152,1,3,0,,,0.94,0.96,,0.04139,,,,,17775090.0,,,0.058106502395619444,0.1479926797545997,1.8395555555555558,0.3196632061205997,,
29768,Kepler-604 b,Kepler-604,1,1,1,25.85501786,0.17342830844585228,2.59,,,0.0,15.067636461949254,,35642,1,1,0,,6122.0,0.964,1.041,-0.18,0.453195,,,F,,16500890.0,,,0.07078718099931554,0.17342830844585228,15.067636461949254,0.5426470191489571,,
27778,Kepler-48 e,Kepler-48,1,1,5,982.0,1.9040658591270991,2.23,657.0,326.6323194812777,0.0,0.011416460922185975,,33382,1,5,0,,5296.0,0.852,0.955,0.3,0.04139,,,G,3.923604e+27,14207330.0,326.6323194812777,192001.31798150894,2.6885694729637235,1.9040658591270991,0.011416460922185975,1.0,11.65644915338036,10.585393
27415,Kepler-45 b,Kepler-45,1,1,1,2.455239,0.03,10.76,160.497,0.8,0.11,-577.6444444444445,1000.0,32983,1,1,0,,3948.0,0.55,0.74,,-0.51988,,,K,9.584880840000001e+26,68551960.0,0.7102945452997254,43201.74413893077,0.0067220780287474335,0.032216592671969156,-577.6444444444445,0.010890090608928371,1.0570914522188002,4.1623573
19949,Kepler-207 b,Kepler-207,1,1,3,1.611865,0.029,1.57,2.5325223335609333,3.6079682012336924,0.0,635.3151010701546,,26352,1,3,0,,5966.0,1.73156,1.09,,0.5343,,,G,1.5124223376025894e+25,10002470.0,3.6079682012336924,14206.947396633082,0.004413045859000685,0.027688608222378536,635.3151010701546,0.009215346649239538,25.070692183205658,28.505478
39173,rho CrB b,rho CrB,1,1,4,39.8438,0.2245,2.23,,,0.038,0.8212260851880696,,46786,1,4,0,,,0.94,0.96,,0.04139,,,,,14207330.0,,,0.10908637919233402,0.22521851758775854,0.8212260851880696,0.9511426860826896,,
5937,K2-77 b,K2-77,1,1,1,8.2000844,0.0753,2.4996027,,,0.29,-87.77462086139725,806.0,10263,1,1,0,,4865.6,0.793476,0.793,0.237,-0.49769,,,K,,15924968.8017,,,0.022450607529089665,0.07366193578782054,-87.77462086139725,0.03356977091233354,,
37211,TOI-5799 c,TOI-5799,1,1,2,14.010449,0.0782,1.76,,,0.0,-292.24527573733815,337.0,44675,1,2,0,,3521.0,0.343358,0.32653,,-1.78715,,,M,,11212960.0,,,0.03835851882272416,0.07832172584954851,-292.24527573733815,0.09993831088085958,,
8485,Kepler-11 d,Kepler-11,1,1,6,22.6845,0.155,3.12,7.3,1.28,0.004,1.7227887617065558,,13094,1,6,0,,5657.0,1.046,0.921,0.0,0.04139,,,G,4.3595600000000005e+25,19877520.0,1.3251573586673717,17110.318338743196,0.06210677618069815,0.15258524328437467,1.7227887617065558,0.38625067583648137,17.330803037343617,18.42937
723,GJ 4276 b,GJ 4276,1,1,1,13.352,0.082,2.23,,,0.37,6.155562165377751,,1288,1,1,0,M4,,0.94,0.96,,0.04139,,,,,14207330.0,,,0.03655578370978782,0.10865785907548965,6.155562165377751,0.08870099118586323,,
37827,WASP-127 b,WASP-127,1,2,1,4.17806203,0.0484,14.694999,52.346601,0.097,0.0,110.03773649340891,,45318,2,1,0,,5858.05,1.30627,0.96,,0.25777,,,G,3.12613901172e+26,93621838.629,0.09094695835117987,21112.196517630106,0.011438910417522246,0.05008182929673237,110.03773649340891,0.015301455493141323,1.233300479641913,0.0
22567,Kepler-279 e,Kepler-279,1,1,4,98.3531,0.4113602248015998,2.23,56.0,7.3,0.0,0.2445968350112596,,28537,1,4,0,,,0.94,0.96,,0.04139,,,,3.34432e+26,14207330.0,27.840806531128692,56055.15252647682,0.26927611225188225,0.4113602248015998,0.2445968350112596,0.9999995747635312,25.89353664152093,
39104,eps Eri b,eps Eri,1,1,1,2671.0,3.53,2.23,209.76674862,104.28706187488083,0.07,-0.03659446749432225,,46633,1,1,0,K2.0V,5146.0,0.77,0.86,-0.03,-0.456,2.6,,K,1.25272702275864e+27,14207330.0,104.28706187488083,108490.0347917685,7.312799452429843,3.58279472417206,-0.03659446749432225,1.0,11.223883089216764,8.792307
9815,Kepler-1197 b,Kepler-1197,1,1,1,2.03231845,0.028680453483227872,1.25,1.5835603779644762,4.470055983050801,0.0,-632.020379598197,,14731,1,1,0,,4762.0,0.673,0.762,0.17,-0.51988,1.29,,K,9.457022577203853e+24,7963750.0,4.470055983050801,12590.305363139794,0.005564184668035592,0.028680453483227872,-632.020379598197,0.010015689217861936,45.00711793969345,39.51206
20741,Kepler-229 b,Kepler-229,1,1,3,6.252972,0.062,2.2,,,0.0,-142.99687825182102,,27039,1,3,0,,4887.5,0.740694,0.74,,-0.54968,,,K,,14016200.000000002,,,0.01711970431211499,0.060081589376986946,-142.99687825182102,0.02299071762380452,,
3553,HD 51608 b,HD 51608,1,1,2,14.0726,0.1059,2.23,,,0.09,-21.768536426386184,,6678,1,2,0,G7 V,5358.0,0.963,0.8,-0.07,-0.24413,,40.0,G,,14207330.0,,,0.038528678986995205,0.10589758957843769,-21.768536426386184,0.10106198879698305,,
20980,Kepler-235 d,Kepler-235,1,1,4,20.060548,0.122,2.05,,,0.0,-34.92878258532652,,27200,1,4,0,,3949.0,0.607,0.74,,-0.51988,,,K,,13060549.999999998,,,0.0549227871321013,0.13069098120185885,-34.92878258532652,0.2713289644705635,,
491,EPIC 212624936 b,EPIC 212624936,1,1,2,0.578657,0.013590037580562417,1.2,1.4558390586094703,4.64491748371411,0.0,-669.8282986821922,,866,1,2,0,,5627.0,0.912526,1.0,,-0.12371,,,G,8.694270858015757e+24,7645200.0,4.64491748371411,12320.831467654554,0.0015842765229295002,0.013590037580562417,-669.8282986821922,0.007507860159170451,48.19167033225289,43.353382
14899,Kepler-1576 b,Kepler-1576,1,1,1,6.98471973,0.0725447529349999,1.04,1.0841482645674334,5.313700050452858,0.0,7.864722698102012,,20553,1,1,0,,5839.0,1.227,1.044,0.12,0.04139,,,G,6.474533435996713e+24,6625840.0,5.313700050452858,11420.934122579694,0.019123120410677617,0.0725447529349999,7.864722698102012,0.026517987943568765,54.95315656328753,46.333683
4664,K2-180 b,K2-180,1,1,1,8.865663,0.0756,2.46597575,11.41003981,4.16,0.075,-76.81755829903977,797.5,8823,1,1,0,,5368.0,0.697439,0.93,,-0.43904,,,G,6.814075774532001e+25,15710731.503250001,4.1949726112843315,24061.5242593196,0.024272862422997945,0.0818292013343566,-76.81755829903977,0.038167079698463724,12.450536514423824,11.27076
39168,pi Men d,HD 39091,1,1,3,124.64,0.4817279979403261,2.23,,,0.22,0.17835761243420964,,6291,1,3,0,G0 V,,0.94,0.96,,0.04139,,,,,14207330.0,,,0.34124572210814513,0.4817279979403261,0.17835761243420964,0.9999999977849703,,
12995,Kepler-1425 b,Kepler-1425,1,1,1,14.4541302,0.11174473241939094,0.94,0.8803256953249579,5.843434658691767,0.0,3.314677700581978,,18405,1,1,0,,5642.0,0.93,0.891,,0.04139,8.1,,G,5.257305052480649e+24,5988740.0,5.843434658691767,10825.095066929392,0.03957325174537988,0.11174473241939094,3.314677700581978,0.10820835325443748,55.306591504078604,49.657154
23050,Kepler-292 f,Kepler-292,1,1,5,20.834237,0.141,2.35,,,0.0,2.081887229012626,,28974,1,5,0,,5296.0,0.808,0.821,-0.1,0.04139,,,G,,14971850.0,,,0.05704103216974676,0.13875201626224132,2.081887229012626,0.30297888242500864,,
30010,Kepler-62 b,Kepler-62,1,1,5,5.714932,0.0553,1.31,9.0,22.071761617880167,0.0,-170.00153690702365,750.0,35947,1,5,0,,4797.0,0.653,0.637,-0.46,-0.51988,,,K,5.3748000000000005e+25,8346010.0,22.071761617880167,29319.702785489855,0.015646631074606433,0.05382619815514666,-170.00153690702365,0.02069373156857215,14.865463966254588,36.36017
33091,Kepler-84 f,Kepler-84,1,1,5,44.552169,0.25,2.2,,,0.0,7.25112,,39562,1,5,0,,6036.0,1.131,0.987,-0.18,0.453195,,,F,,14016200.000000002,,,0.1219771909650924,0.24488271748315743,7.25112,0.980361583635409,,
36916,TOI-411 b,HD 22946,1,1,3,4.040295,0.05727,1.362,13.71,18.96,0.0,495.139,1241.0,5670,1,3,0,,6161.0,1.11672,1.17,,0.20919,,,F,8.187612000000002e+25,8677302.0,29.916756495985844,35489.84726024122,0.011061724845995895,0.052313107839275494,63.7802994152573,0.014891796434657864,12.220494164003664,35.88896
7999,Kepler-107 b,Kepler-107,1,1,4,3.1800218,0.04544,1.536,3.8,5.8,0.1,1073.0,1592.0,12536,1,4,0,,5725.0,0.999,0.96,-0.092,0.04139,,,G,2.26936e+25,9785856.0,5.781204393240741,17594.2252250137,0.008706425188227241,0.04174940842760713,20.045587123090655,0.012567479939022673,24.181914816290544,18.519754
