# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
loc_rowid,pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_orbeccen,pl_insol,pl_eqt
1,11 Com b,11 Com,1,2,1,323.21000000000,1.1780000000,,,,0.238000,,
2,11 Com b,11 Com,0,2,1,326.03000000000,1.2900000000,,,,0.231000,,
3,11 Com b,11 Com,0,2,1,,1.2100000000,,,,,,
4,11 UMi b,11 UMi,0,1,1,516.22000000000,1.5400000000,,,,0.080000,,
5,11 UMi b,11 UMi,1,1,1,516.21997000000,1.5300000000,,,,0.080000,,
6,11 UMi b,11 UMi,0,1,1,,1.5100000000,,,,,,
7,14 And b,14 And,0,1,1,,0.6800000000,,,,,,
8,14 And b,14 And,1,1,1,186.76000000000,0.7750000000,,,,0.000000,,
9,14 And b,14 And,0,1,1,185.84000000000,0.8300000000,,,,0.000000,,
10,14 Her b,14 Her,1,1,2,1765.03890000000,2.7740000000,,2559.47216157,,0.373000,,
11,14 Her b,14 Her,0,1,2,,2.7300000000,,,,0.357000,,
12,14 Her b,14 Her,0,1,2,1724.00000000000,2.8200000000,,,,0.370000,,
13,14 Her b,14 Her,0,1,2,1796.40000000000,2.8000000000,,,,0.338000,,
14,14 Her b,14 Her,0,1,2,1766.00000000000,2.8640000000,,,,0.359000,,
15,14 Her b,14 Her,0,1,2,1773.40002000000,2.9300000000,,,,0.370000,,
16,14 Her b,14 Her,0,1,2,1773.40000000000,2.7700000000,,,,0.369000,,
17,14 Her b,14 Her,0,1,2,1766.41000000000,2.8300000000,,,,0.367400,,
18,16 Cyg B b,16 Cyg B,1,3,1,798.50000000000,1.6600000000,,,,0.680000,,
19,16 Cyg B b,16 Cyg B,0,3,1,798.50000000000,1.6810000000,,,,0.681000,,
20,16 Cyg B b,16 Cyg B,0,3,1,799.50000000000,1.6800000000,,,,0.689000,,
21,16 Cyg B b,16 Cyg B,0,3,1,800.80000000000,1.6000000000,,,,0.634000,,
22,16 Cyg B b,16 Cyg B,0,3,1,799.45000000000,1.6760000000,,,,0.683200,,
23,16 Cyg B b,16 Cyg B,0,3,1,799.50000000000,1.6800000000,,,,0.689000,,
24,17 Sco b,17 Sco,1,1,1,578.38000000000,1.4500000000,,,,0.060000,,
25,18 Del b,18 Del,0,2,1,,2.5400000000,,,,,,
