# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
loc_rowid,hostname,sy_snum,sy_pnum,cb_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_age,st_rotp
1,11 Com,2,1,0,G8 III,4874.00,13.760000,2.090000,-0.2600,1.97823,,
2,11 Com,2,1,0,,4675.18,17.407000,,-0.5100,,,
3,11 Com B,2,1,0,,4415.00,0.625120,0.691000,,-0.87366,,
4,11 Com,2,1,0,K0,,,,,,,
5,11 Com,2,1,0,,4830.00,,2.040000,-0.3400,,,
6,11 Com,2,1,0,,4755.00,17.181000,,,2.13339,,
7,11 Com,2,1,0,K0 III,4705.00,15.781000,,-0.3000,2.03900,,
8,11 Com,2,1,0,,,,2.600000,,,,
9,11 Com,2,1,0,G8 III,4742.00,19.000000,2.700000,-0.3500,2.24300,,
10,11 UMi,1,1,0,,4255.00,27.032000,1.434000,-0.1300,,3.1860,
11,11 UMi,1,1,0,,,,1.700000,,,,
12,11 UMi,1,1,0,,4213.00,29.790000,2.780000,-0.0200,,,
13,11 UMi,1,1,0,K4 III,4340.00,24.080000,1.800000,0.0400,,1.5600,
14,11 UMi,1,1,0,K0,,,,,,,
15,11 UMi,1,1,0,,4263.77,29.310400,,-0.0869,,,
16,11 UMi,1,1,0,,4248.70,30.262005,,,2.42951,,
17,14 And,1,1,0,G8 III,4826.00,10.300000,1.100000,-0.3200,,4.5000,
18,14 And,1,1,0,K0,,,,,,,
19,14 And,1,1,0,,,,,,,,
20,14 And,1,1,0,,4709.00,10.859000,1.173000,-0.2900,,5.4770,
21,14 And,1,1,0,,4740.00,11.147492,,,1.75216,,
22,14 And,1,1,0,,4689.46,11.216100,,-0.2979,,,
23,14 And,1,1,0,K0 III,4888.00,11.550000,1.780000,-0.2100,1.83992,,
24,14 And,1,1,0,,,,1.200000,,,,
25,14 And,1,1,0,K0 III,4813.00,11.000000,2.200000,-0.2400,1.76300,,
26,14 Her,1,2,0,,5338.00,0.930000,0.900000,0.4100,,,
27,14 Her,1,2,0,,,,,,,,
28,14 Her,1,2,0,,5255.00,,0.900000,0.5100,-0.15000,3.9000,
29,14 Her,1,2,0,K0 V,,,,,,,
30,14 Her,1,2,0,K0,,,,,,,
31,14 Her,1,2,0,,5418.00,,,0.5000,,,
32,14 Her,1,2,0,,5314.94,0.995819,0.969205,0.4052,,,
33,14 Her,1,2,0,,,,,,,7.4700,
